amount0In,amount0Out,amount1In,amount1Out,amountUSD,id,pair,sender,timestamp,to
20000,0,0,20004.61206,20005.7745046704889873959043158037,0x0d1a8ffd3e548580935e3158a9f9ae160cbe6289023a1548679685f8568318ff-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618657803,0x904144473fde753dc0729608cfeea6f4a8b275e6
586.571695,0,0,587.711291,586.9931886146918389339482699068015,0x0dc74e39e65982c5cbb8d5f4a5f835c0987e7e44c0897cdf35ae15d40b669cbe-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618698446,0xba30a255a23fc6e864f1195eaccedf1eeac9a64c
3000,0,0,2989.226902,2994.41651638705323050023235077849,0x0e78e57e39305121139ebaeedc8ba0d0992c48189cca53d4cae0bb9a951b698c-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618629125,0x3f375ddb3e07262d48b3fa79489297ce573e35c4
0,18894.77789,19038.277333,0,18972.91884345349540757899220411393,0x101afedfd9e4a1741b3569bfd6d9210b9512487d197343ff4e61f004c331dba8-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618682368,0x2caf97331ffa906b8080165996fe57c6d5eac986
0,792.864434,793,0,792.783520973145344292844482758227,0x1061563e82eb347c6489cf35a56cd044a67930fdd87e04b56f013161c054286f-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x11111112542d85b3ef69ae05771c2dccff4faa26,1618686404,0x4c508567eaea699f61483c933184d351e7ecb862
0,1990.529967,2000,0,1996.217299002483648006076148009287,0x10699cea73d14a7027507fa6a37cf6815663761c30a0a2fcdb78f7003e3d090d-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618652132,0x9d640080af7c81911d87632a7d09cc4ab6b133ac
6439.260891,0,0,6399.264486,6419.13417838380062440470864985162,0x112913bcd4e399c35ce3b0ee8159cbe563e239ca33dd2198c910eb02b9b7dce6-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x6cdc900324c935a2807ecc308f8ead1fcd62fe35,1618686349,0x6cdc900324c935a2807ecc308f8ead1fcd62fe35
0,2533.23,2541.682237,0,2537.085659825182774495860817690697,0x11db1b8ef34dfa00ff048cc7477f9fbe361569e88b9ba2c79e722ec73c29c9d7-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618661830,0xa665a0507ad4b0571b12b1f59fa7e8d2bf63c65f
3321.773897,0,0,3314.133334,3318.030243807456139191387088890871,0x1234bb7732d5c62573d0f714da5110f013d3c428d2b2aae1dbc8789cdad3bab1-1,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618634781,0xa116a4661be4d5535a2031e629bdd48ef1307cfc
0,0.232914,0.233303,0,0.2331871129825278545371674581999245,0x12884a4bcc7feaede7dff9636e58a11a5e9d2bcaa32da4ef3cca073bb16d567c-0,"{'token0': {'symbol': 'USDC'}, 'token1': {'symbol': 'USDT'}}",0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1618626987,0x881d5c98866a08f90a6f60e3f94f0e461093d049
